Lat,Long,Incidence
33,65,0.3
41,20,1.7
28,3,0.7
-12.5,18.5,1.7
-34,-64,2.9
40,45,1.6
-27,133,33.6
47.3333,13.3333,13.6
40.5,47.5,0.5
24.25,-76,1.4
26,50.55,0.1
24,90,0.3
13.1667,-59.5333,0.7
53,28,5.5
50.8333,4,19.9
17.25,-88.75,3
9.5,2.25,0.3
27.5,90.5,0.8
-17,-65,2.7
44,18,3.9
-22,24,1.8
-10,-55,2.8
4.5,114.6667,0.6
43,25,4
13,-2,0.9
-3.5,30,1.3
16,-24,1.4
13,105,0.4
6,12,1.1
60,-95,12.4
7,21,1.1
15,19,0.7
-30,-71,2.5
35,105,0.4
4,-72,3.3
-12.1667,44.25,0.5
-1,15,1.6
10,-84,2.2
45.1667,15.5,8
21.5,-80,1.4
35,33,4.5
49.75,15.5,12.6
56,10,27.6
11.5,43,0
19,-70.6667,0.4
0,25,0.5
-2,-77.5,2.2
27,30,0.3
13.8333,-88.9167,0.1
2,10,1.2
15,39,0.2
59,26,10.1
8,38,0.2
-18,175,0.9
64,26,15.8
46,2,13.6
4,-53,3.7
-15,-140,6.5
-43,67,7.3
-1,11.75,1.5
13.4667,-16.5667,0
42,43.5,3
51,9,21.6
8,-2,0.5
39,22,8.7
13.4667,144.7833,0
15.5,-90.25,0.8
11,-10,0.7
12,-15,0.3
5,-59,0
19,-72.4167,0.4
15,-86.5,0.9
47,20,10.1
65,-18,10.1
20,77,0.2
-5,120,0.6
32,53,0.6
33,44,0.4
53,-8,16.3
31.5,34.75,8.3
42.8333,12.8333,12.4
18.25,-77.5,0.2
36,138,0.6
31,36,0.4
48,68,1.2
1,38,1.3
29.3375,47.6581,0.3
41,75,0.7
18,105,0.4
57,25,5.6
33.8333,35.8333,1.8
-29.5,28.5,1.8
6.5,-9.5,0.5
25,17,0.3
56,24,8.8
49.75,6.1667,16.5
41.8333,22,7.1
-20,47,1.5
-13.5,34,2.5
2.5,112.5,0.3
3.25,73,0
17,-4,0.9
35.8333,14.5833,8
20,-12,0.6
-20.2833,57.55,0.2
23,-102,2.2
47,29,4.3
46,105,0.4
42,19,2.6
32,-5,0.6
-18.25,35,1.4
22,98,0.2
-22,17,2.8
28,84,1
52.5,5.75,25.7
-41,174,33.3
13,-85,0.5
16,8,0.7
10,8,0.6
40,127,0.3
62,10,29.6
21,57,0.5
30,70,0.3
32,35.25,0.8
9,-80,1.1
-6,147,3.6
-23,-58,2
-10,-76,2.7
13,122,0.4
52,20,5.3
39.5,-8,6.7
18.25,-66.5,2
25.5,51.25,0
46,25,3.4
60,100,4.7
-2,30,1.2
-13.5833,-172.3333,0
25,45,0.2
14,-14,0.6
44,21,9
8.5,-11.5,0.6
1.3667,103.8,0.7
48.6667,19.5,8.5
46,15,18.6
-8,159,0.5
10,49,0.5
-29,24,2.2
37,127.5,0.7
40,-4,6.4
7,81,0.4
15,30,0.5
4,-56,0.6
62,15,24.7
47,8,21.3
35,38,0.9
39,71,0.3
-6,35,1.6
15,100,0.5
8,1.1667,1.1
11,-61,0.6
34,9,0.5
39,35,1.7
40,60,0.8
1,32,1.1
49,32,5.3
24,54,0.4
54,-2,15
38,-97,12.7
-33,-56,4.8
41,64,0.3
-16,167,0.9
8,-66,1.4
16,106,0.1
15,48,0.2
-15,30,0.8
-20,30,1.8
