Lat,Long,Mortality
33,65,0.2
41,20,0.5
28,3,0.4
-12.5,18.5,1.1
-34,-64,0.9
40,45,0.4
-27,133,3.2
47.3333,13.3333,1.6
40.5,47.5,0.2
24.25,-76,0.2
26,50.55,0.1
24,90,0.2
13.1667,-59.5333,0
53,28,1.7
50.8333,4,1.9
17.25,-88.75,0
9.5,2.25,0.2
27.5,90.5,0.8
-17,-65,0.8
44,18,1.3
-22,24,1.1
-10,-55,0.8
4.5,114.6667,0.6
43,25,1.3
13,-2,0.8
-3.5,30,1.1
16,-24,0.7
13,105,0.3
6,12,1.7
60,-95,1.6
7,21,1.1
15,19,0.6
-30,-71,0.8
35,105,0.2
4,-72,0.9
-12.1667,44.25,0.5
-1,15,1
10,-84,0.8
45.1667,15.5,2.3
21.5,-80,0.4
35,33,1.5
49.75,15.5,1.7
56,10,2.4
11.5,43,0
19,-70.6667,0.2
0,25,1.1
-2,-77.5,0.3
27,30,0.1
13.8333,-88.9167,0
2,10,1.1
15,39,0.2
59,26,1.7
8,38,0.2
-18,175,0
64,26,1.9
46,2,1.6
4,-53,0.1
-15,-140,0.5
-43,67,0.7
-1,11.75,1
13.4667,-16.5667,0
42,43.5,0.9
51,9,1.6
8,-2,0.4
39,22,1.3
13.4667,144.7833,0
15.5,-90.25,0.2
11,-10,0.6
12,-15,0.3
5,-59,0
19,-72.4167,0.2
15,-86.5,0.3
47,20,1.7
65,-18,1.5
20,77,0.2
-5,120,0.3
32,53,0.2
33,44,0.2
53,-8,1.9
31.5,34.75,1.8
42.8333,12.8333,1.6
18.25,-77.5,0.1
36,138,0.2
31,36,0.3
48,68,0.7
1,38,0.8
29.3375,47.6581,0.3
41,75,0.5
18,105,0.3
57,25,1.7
33.8333,35.8333,0
-29.5,28.5,1.4
6.5,-9.5,0.5
25,17,0.1
56,24,1.6
49.75,6.1667,1.6
41.8333,22,2.1
-20,47,1.1
-13.5,34,1.9
2.5,112.5,0.1
3.25,73,0
17,-4,0.7
35.8333,14.5833,1.1
20,-12,0.6
-20.2833,57.55,0
23,-102,0.5
47,29,1.5
46,105,0.4
42,19,0.9
32,-5,0.4
-18.25,35,1
22,98,0.2
-22,17,1.6
28,84,0.7
52.5,5.75,2.7
-41,174,4.8
13,-85,0.3
16,8,0.6
10,8,0.4
40,127,0.3
62,10,3.5
21,57,0.4
30,70,0.2
32,35.25,0.6
9,-80,0.3
-6,147,0.8
-23,-58,0.7
-10,-76,1
13,122,0.3
52,20,2.1
39.5,-8,1.4
18.25,-66.5,0.3
25.5,51.25,0
46,25,1.2
60,100,1.6
-2,30,0.7
-13.5833,-172.3333,1.2
25,45,0.1
14,-14,0.5
44,21,2.5
8.5,-11.5,0.5
1.3667,103.8,0.4
48.6667,19.5,2.6
46,15,2.7
-8,159,0
10,49,0.5
-29,24,1.1
37,127.5,0.8
40,-4,1.1
7,81,0.2
15,30,0.3
4,-56,0.2
62,15,0.9
47,8,1.9
35,38,0.4
39,71,0.3
-6,35,1.1
15,100,0.3
8,1.1667,0.8
11,-61,0.1
34,9,0.3
39,35,0.7
40,60,0.5
1,32,0.8
49,32,1.8
24,54,0.1
54,-2,1.8
38,-97,1.7
-33,-56,1.3
41,64,0.2
-16,167,0
8,-66,0.4
16,106,0.1
15,48,0.1
-15,30,0.5
-20,30,1.3
